,0,1
0,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28492.jpg,33
1,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28521.jpg,50
2,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28681.jpg,50
3,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28801.jpg,47
4,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28815.jpg,53
5,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28873.jpg,34
6,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28896.jpg,36
7,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28908.jpg,53
8,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29076.jpg,35
9,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29167.jpg,53
10,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29225.jpg,51
11,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29327.jpg,39
12,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29367.jpg,34
13,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29527.jpg,48
14,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29559.jpg,41
15,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29589.jpg,46
16,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29615.jpg,44
17,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29685.jpg,51
18,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29686.jpg,35
19,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29716.jpg,49
20,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29779.jpg,46
21,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29793.jpg,54
22,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29893.jpg,49
23,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30057.jpg,40
24,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30058.jpg,47
25,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30074.jpg,51
26,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30075.jpg,54
27,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30153.jpg,51
28,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30201.jpg,50
29,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30310.jpg,30
30,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30406.jpg,39
31,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30482.jpg,46
32,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30547.jpg,48
33,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30564.jpg,55
34,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30677.jpg,37
35,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30736.jpg,39
36,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30795.jpg,50
37,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30840.jpg,45
38,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30914.jpg,34
39,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31015.jpg,51
40,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31059.jpg,34
41,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31105.jpg,34
42,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31150.jpg,38
43,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31166.jpg,25
44,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31230.jpg,57
45,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31375.jpg,44
46,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31400.jpg,41
47,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31409.jpg,43
48,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31430.jpg,40
49,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31513.jpg,46
50,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31585.jpg,38
51,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31704.jpg,55
52,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31711.jpg,52
53,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31774.jpg,47
54,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31851.jpg,39
55,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31880.jpg,36
56,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31894.jpg,42
57,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31981.jpg,34
58,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32058.jpg,47
59,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32065.jpg,48
60,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32069.jpg,48
61,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32106.jpg,47
62,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32123.jpg,52
63,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32365.jpg,32
64,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32371.jpg,45
65,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32482.jpg,33
66,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32551.jpg,33
67,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32599.jpg,51
68,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32735.jpg,50
69,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32758.jpg,52
70,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32814.jpg,54
71,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32849.jpg,23
72,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32861.jpg,42
73,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32922.jpg,32
74,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33023.jpg,45
75,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33113.jpg,42
76,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33136.jpg,44
77,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33178.jpg,52
78,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33287.jpg,30
79,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33295.jpg,36
80,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33325.jpg,57
81,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33412.jpg,32
82,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33482.jpg,46
83,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33579.jpg,47
84,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33706.jpg,52
85,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33827.jpg,45
86,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33853.jpg,37
87,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33893.jpg,50
88,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34128.jpg,44
89,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34189.jpg,60
90,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34384.jpg,51
91,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34400.jpg,41
92,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34478.jpg,49
93,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34494.jpg,48
94,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34499.jpg,52
95,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34500.jpg,45
96,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34579.jpg,36
97,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34669.jpg,53
98,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34685.jpg,53
99,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34765.jpg,31
100,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34973.jpg,22
101,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35005.jpg,55
102,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35061.jpg,52
103,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35222.jpg,36
104,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35226.jpg,48
105,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35240.jpg,44
106,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35250.jpg,49
107,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35290.jpg,38
108,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35319.jpg,29
109,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35441.jpg,53
110,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35495.jpg,33
111,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35513.jpg,45
112,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35723.jpg,43
113,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35725.jpg,41
114,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35760.jpg,38
115,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35863.jpg,42
116,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35947.jpg,46
117,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36031.jpg,51
118,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36042.jpg,37
119,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36167.jpg,43
