YPredicted,Var2
21.39914,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28492.jpg
18.33859,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28521.jpg
17.4311,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28681.jpg
12.5848,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28801.jpg
15.87198,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28815.jpg
11.22983,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28873.jpg
9.201922,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28896.jpg
15.03708,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\28908.jpg
7.092749,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29076.jpg
10.19181,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29167.jpg
21.54533,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29225.jpg
18.43636,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29327.jpg
9.46403,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29367.jpg
20.50732,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29527.jpg
9.703723,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29559.jpg
20.09473,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29589.jpg
17.53325,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29615.jpg
12.80968,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29685.jpg
11.96459,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29686.jpg
11.00086,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29716.jpg
9.589278,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29779.jpg
9.308006,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29793.jpg
19.72231,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\29893.jpg
12.92084,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30057.jpg
10.18914,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30058.jpg
17.88744,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30074.jpg
19.5427,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30075.jpg
12.60179,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30153.jpg
15.53059,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30201.jpg
20.19381,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30310.jpg
28.00064,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30406.jpg
17.71298,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30482.jpg
13.38812,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30547.jpg
14.1596,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30564.jpg
14.16042,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30677.jpg
9.309131,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30736.jpg
20.10409,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30795.jpg
8.239027,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30840.jpg
26.57934,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\30914.jpg
